CaseId,CaseName,Owner,C1,C2,C3,C4,C5
CaseId,CaseName,Owner,C1,C2,C3,C4,C5
ShoppingCartClient_addItemsToCart_addItemsToCart01,addItemsToCart01,weijx, , , , , 
ShoppingCartClient_addItemsToCart_addItemsToCart03,addItemsToCart03,weijx, , , , , 
ShoppingCartClient_addItemsToCart_addItemsToCart02,addItemsToCart02,weijx, , , , , 
ShoppingCartClient_addItemsToCart_addItemsToCart05,addItemsToCart05,weijx, , , , , 
ShoppingCartClient_addItemsToCart_addItemsToCart04,addItemsToCart04,weijx, , , , , 
ShoppingCartClient_addItemToCart_addItemToCart04,addItemToCart04,weijx, , , , , 
ShoppingCartClient_addItemToCartAndReturnCommerceItem_addItemToCartAndReturnCommerceItem02,addItemToCartAndReturnCommerceItem02,weijx, , , , , 
ShoppingCartClient_addItemToCartAndReturnCommerceItem_addItemToCartAndReturnCommerceItem05,addItemToCartAndReturnCommerceItem05,weijx, , , , , 
ShoppingCartClient_addItemToCart_addItemToCart01,addItemToCart01,weijx, , , , , 
ShoppingCartClient_addItemToCart_addItemToCart02,addItemToCart02,weijx, , , , , 
ShoppingCartClient_addItemToCartAndReturnCommerceItem_addItemToCartAndReturnCommerceItem04,addItemToCartAndReturnCommerceItem04,weijx, , , , , 
ShoppingCartClient_addItemToCart_addItemToCart05,addItemToCart05,weijx, , , , , 
ShoppingCartClient_addItemToCartAndReturnCommerceItem_addItemToCartAndReturnCommerceItem01,addItemToCartAndReturnCommerceItem01,weijx, , , , , 
